Hex	Decimal	Name
U+000061	97	LATIN SMALL LETTER A
U+000062	98	LATIN SMALL LETTER B
U+000063	99	LATIN SMALL LETTER C
U+000064	100	LATIN SMALL LETTER D
U+000065	101	LATIN SMALL LETTER E
U+000066	102	LATIN SMALL LETTER F
U+000067	103	LATIN SMALL LETTER G
U+000068	104	LATIN SMALL LETTER H
U+000069	105	LATIN SMALL LETTER I
U+00006A	106	LATIN SMALL LETTER J
U+00006B	107	LATIN SMALL LETTER K
U+00006C	108	LATIN SMALL LETTER L
U+00006D	109	LATIN SMALL LETTER M
U+00006E	110	LATIN SMALL LETTER N
U+00006F	111	LATIN SMALL LETTER O
U+000070	112	LATIN SMALL LETTER P
U+000071	113	LATIN SMALL LETTER Q
U+000072	114	LATIN SMALL LETTER R
U+000073	115	LATIN SMALL LETTER S
U+000074	116	LATIN SMALL LETTER T
U+000075	117	LATIN SMALL LETTER U
U+000076	118	LATIN SMALL LETTER V
U+000077	119	LATIN SMALL LETTER W
U+000078	120	LATIN SMALL LETTER X
U+000079	121	LATIN SMALL LETTER Y
U+00007A	122	LATIN SMALL LETTER Z
U+0000B5	181	MICRO SIGN
U+0000DF	223	LATIN SMALL LETTER SHARP S
U+0000E0	224	LATIN SMALL LETTER A WITH GRAVE
U+0000E1	225	LATIN SMALL LETTER A WITH ACUTE
U+0000E2	226	LATIN SMALL LETTER A WITH CIRCUMFLEX
U+0000E3	227	LATIN SMALL LETTER A WITH TILDE
U+0000E4	228	LATIN SMALL LETTER A WITH DIAERESIS
U+0000E5	229	LATIN SMALL LETTER A WITH RING ABOVE
U+0000E6	230	LATIN SMALL LETTER AE
U+0000E7	231	LATIN SMALL LETTER C WITH CEDILLA
U+0000E8	232	LATIN SMALL LETTER E WITH GRAVE
U+0000E9	233	LATIN SMALL LETTER E WITH ACUTE
U+0000EA	234	LATIN SMALL LETTER E WITH CIRCUMFLEX
U+0000EB	235	LATIN SMALL LETTER E WITH DIAERESIS
U+0000EC	236	LATIN SMALL LETTER I WITH GRAVE
U+0000ED	237	LATIN SMALL LETTER I WITH ACUTE
U+0000EE	238	LATIN SMALL LETTER I WITH CIRCUMFLEX
U+0000EF	239	LATIN SMALL LETTER I WITH DIAERESIS
U+0000F0	240	LATIN SMALL LETTER ETH
U+0000F1	241	LATIN SMALL LETTER N WITH TILDE
U+0000F2	242	LATIN SMALL LETTER O WITH GRAVE
U+0000F3	243	LATIN SMALL LETTER O WITH ACUTE
U+0000F4	244	LATIN SMALL LETTER O WITH CIRCUMFLEX
U+0000F5	245	LATIN SMALL LETTER O WITH TILDE
U+0000F6	246	LATIN SMALL LETTER O WITH DIAERESIS
U+0000F8	248	LATIN SMALL LETTER O WITH STROKE
U+0000F9	249	LATIN SMALL LETTER U WITH GRAVE
U+0000FA	250	LATIN SMALL LETTER U WITH ACUTE
U+0000FB	251	LATIN SMALL LETTER U WITH CIRCUMFLEX
U+0000FC	252	LATIN SMALL LETTER U WITH DIAERESIS
U+0000FD	253	LATIN SMALL LETTER Y WITH ACUTE
U+0000FE	254	LATIN SMALL LETTER THORN
U+0000FF	255	LATIN SMALL LETTER Y WITH DIAERESIS
U+000101	257	LATIN SMALL LETTER A WITH MACRON
U+000103	259	LATIN SMALL LETTER A WITH BREVE
U+000105	261	LATIN SMALL LETTER A WITH OGONEK
U+000107	263	LATIN SMALL LETTER C WITH ACUTE
U+000109	265	LATIN SMALL LETTER C WITH CIRCUMFLEX
U+00010B	267	LATIN SMALL LETTER C WITH DOT ABOVE
U+00010D	269	LATIN SMALL LETTER C WITH CARON
U+00010F	271	LATIN SMALL LETTER D WITH CARON
U+000111	273	LATIN SMALL LETTER D WITH STROKE
U+000113	275	LATIN SMALL LETTER E WITH MACRON
U+000115	277	LATIN SMALL LETTER E WITH BREVE
U+000117	279	LATIN SMALL LETTER E WITH DOT ABOVE
U+000119	281	LATIN SMALL LETTER E WITH OGONEK
U+00011B	283	LATIN SMALL LETTER E WITH CARON
U+00011D	285	LATIN SMALL LETTER G WITH CIRCUMFLEX
U+00011F	287	LATIN SMALL LETTER G WITH BREVE
U+000121	289	LATIN SMALL LETTER G WITH DOT ABOVE
U+000123	291	LATIN SMALL LETTER G WITH CEDILLA
U+000125	293	LATIN SMALL LETTER H WITH CIRCUMFLEX
U+000127	295	LATIN SMALL LETTER H WITH STROKE
U+000129	297	LATIN SMALL LETTER I WITH TILDE
U+00012B	299	LATIN SMALL LETTER I WITH MACRON
U+00012D	301	LATIN SMALL LETTER I WITH BREVE
U+00012F	303	LATIN SMALL LETTER I WITH OGONEK
U+000131	305	LATIN SMALL LETTER DOTLESS I
U+000133	307	LATIN SMALL LIGATURE IJ
U+000135	309	LATIN SMALL LETTER J WITH CIRCUMFLEX
U+000137	311	LATIN SMALL LETTER K WITH CEDILLA
U+000138	312	LATIN SMALL LETTER KRA
U+00013A	314	LATIN SMALL LETTER L WITH ACUTE
U+00013C	316	LATIN SMALL LETTER L WITH CEDILLA
U+00013E	318	LATIN SMALL LETTER L WITH CARON
U+000140	320	LATIN SMALL LETTER L WITH MIDDLE DOT
U+000142	322	LATIN SMALL LETTER L WITH STROKE
U+000144	324	LATIN SMALL LETTER N WITH ACUTE
U+000146	326	LATIN SMALL LETTER N WITH CEDILLA
U+000148	328	LATIN SMALL LETTER N WITH CARON
U+000149	329	LATIN SMALL LETTER N PRECEDED BY APOSTROPHE
U+00014B	331	LATIN SMALL LETTER ENG
U+00014D	333	LATIN SMALL LETTER O WITH MACRON
U+00014F	335	LATIN SMALL LETTER O WITH BREVE
U+000151	337	LATIN SMALL LETTER O WITH DOUBLE ACUTE
U+000153	339	LATIN SMALL LIGATURE OE
U+000155	341	LATIN SMALL LETTER R WITH ACUTE
U+000157	343	LATIN SMALL LETTER R WITH CEDILLA
U+000159	345	LATIN SMALL LETTER R WITH CARON
U+00015B	347	LATIN SMALL LETTER S WITH ACUTE
U+00015D	349	LATIN SMALL LETTER S WITH CIRCUMFLEX
U+00015F	351	LATIN SMALL LETTER S WITH CEDILLA
U+000161	353	LATIN SMALL LETTER S WITH CARON
U+000163	355	LATIN SMALL LETTER T WITH CEDILLA
U+000165	357	LATIN SMALL LETTER T WITH CARON
U+000167	359	LATIN SMALL LETTER T WITH STROKE
U+000169	361	LATIN SMALL LETTER U WITH TILDE
U+00016B	363	LATIN SMALL LETTER U WITH MACRON
U+00016D	365	LATIN SMALL LETTER U WITH BREVE
U+00016F	367	LATIN SMALL LETTER U WITH RING ABOVE
U+000171	369	LATIN SMALL LETTER U WITH DOUBLE ACUTE
U+000173	371	LATIN SMALL LETTER U WITH OGONEK
U+000175	373	LATIN SMALL LETTER W WITH CIRCUMFLEX
U+000177	375	LATIN SMALL LETTER Y WITH CIRCUMFLEX
U+00017A	378	LATIN SMALL LETTER Z WITH ACUTE
U+00017C	380	LATIN SMALL LETTER Z WITH DOT ABOVE
U+00017E	382	LATIN SMALL LETTER Z WITH CARON
U+00017F	383	LATIN SMALL LETTER LONG S
U+000180	384	LATIN SMALL LETTER B WITH STROKE
U+000183	387	LATIN SMALL LETTER B WITH TOPBAR
U+000185	389	LATIN SMALL LETTER TONE SIX
U+000188	392	LATIN SMALL LETTER C WITH HOOK
U+00018C	396	LATIN SMALL LETTER D WITH TOPBAR
U+00018D	397	LATIN SMALL LETTER TURNED DELTA
U+000192	402	LATIN SMALL LETTER F WITH HOOK
U+000195	405	LATIN SMALL LETTER HV
U+000199	409	LATIN SMALL LETTER K WITH HOOK
U+00019A	410	LATIN SMALL LETTER L WITH BAR
U+00019B	411	LATIN SMALL LETTER LAMBDA WITH STROKE
U+00019E	414	LATIN SMALL LETTER N WITH LONG RIGHT LEG
U+0001A1	417	LATIN SMALL LETTER O WITH HORN
U+0001A3	419	LATIN SMALL LETTER OI
U+0001A5	421	LATIN SMALL LETTER P WITH HOOK
U+0001A8	424	LATIN SMALL LETTER TONE TWO
U+0001AA	426	LATIN LETTER REVERSED ESH LOOP
U+0001AB	427	LATIN SMALL LETTER T WITH PALATAL HOOK
U+0001AD	429	LATIN SMALL LETTER T WITH HOOK
U+0001B0	432	LATIN SMALL LETTER U WITH HORN
U+0001B4	436	LATIN SMALL LETTER Y WITH HOOK
U+0001B6	438	LATIN SMALL LETTER Z WITH STROKE
U+0001B9	441	LATIN SMALL LETTER EZH REVERSED
U+0001BA	442	LATIN SMALL LETTER EZH WITH TAIL
U+0001BD	445	LATIN SMALL LETTER TONE FIVE
U+0001BE	446	LATIN LETTER INVERTED GLOTTAL STOP WITH STROKE
U+0001BF	447	LATIN LETTER WYNN
U+0001C6	454	LATIN SMALL LETTER DZ WITH CARON
U+0001C9	457	LATIN SMALL LETTER LJ
U+0001CC	460	LATIN SMALL LETTER NJ
U+0001CE	462	LATIN SMALL LETTER A WITH CARON
U+0001D0	464	LATIN SMALL LETTER I WITH CARON
U+0001D2	466	LATIN SMALL LETTER O WITH CARON
U+0001D4	468	LATIN SMALL LETTER U WITH CARON
