Hex	Decimal	Name
U+000041	65	LATIN CAPITAL LETTER A
U+000042	66	LATIN CAPITAL LETTER B
U+000043	67	LATIN CAPITAL LETTER C
U+000044	68	LATIN CAPITAL LETTER D
U+000045	69	LATIN CAPITAL LETTER E
U+000046	70	LATIN CAPITAL LETTER F
U+000047	71	LATIN CAPITAL LETTER G
U+000048	72	LATIN CAPITAL LETTER H
U+000049	73	LATIN CAPITAL LETTER I
U+00004A	74	LATIN CAPITAL LETTER J
U+00004B	75	LATIN CAPITAL LETTER K
U+00004C	76	LATIN CAPITAL LETTER L
U+00004D	77	LATIN CAPITAL LETTER M
U+00004E	78	LATIN CAPITAL LETTER N
U+00004F	79	LATIN CAPITAL LETTER O
U+000050	80	LATIN CAPITAL LETTER P
U+000051	81	LATIN CAPITAL LETTER Q
U+000052	82	LATIN CAPITAL LETTER R
U+000053	83	LATIN CAPITAL LETTER S
U+000054	84	LATIN CAPITAL LETTER T
U+000055	85	LATIN CAPITAL LETTER U
U+000056	86	LATIN CAPITAL LETTER V
U+000057	87	LATIN CAPITAL LETTER W
U+000058	88	LATIN CAPITAL LETTER X
U+000059	89	LATIN CAPITAL LETTER Y
U+00005A	90	LATIN CAPITAL LETTER Z
U+0000C0	192	LATIN CAPITAL LETTER A WITH GRAVE
U+0000C1	193	LATIN CAPITAL LETTER A WITH ACUTE
U+0000C2	194	LATIN CAPITAL LETTER A WITH CIRCUMFLEX
U+0000C3	195	LATIN CAPITAL LETTER A WITH TILDE
U+0000C4	196	LATIN CAPITAL LETTER A WITH DIAERESIS
U+0000C5	197	LATIN CAPITAL LETTER A WITH RING ABOVE
U+0000C6	198	LATIN CAPITAL LETTER AE
U+0000C7	199	LATIN CAPITAL LETTER C WITH CEDILLA
U+0000C8	200	LATIN CAPITAL LETTER E WITH GRAVE
U+0000C9	201	LATIN CAPITAL LETTER E WITH ACUTE
U+0000CA	202	LATIN CAPITAL LETTER E WITH CIRCUMFLEX
U+0000CB	203	LATIN CAPITAL LETTER E WITH DIAERESIS
U+0000CC	204	LATIN CAPITAL LETTER I WITH GRAVE
U+0000CD	205	LATIN CAPITAL LETTER I WITH ACUTE
U+0000CE	206	LATIN CAPITAL LETTER I WITH CIRCUMFLEX
U+0000CF	207	LATIN CAPITAL LETTER I WITH DIAERESIS
U+0000D0	208	LATIN CAPITAL LETTER ETH
U+0000D1	209	LATIN CAPITAL LETTER N WITH TILDE
U+0000D2	210	LATIN CAPITAL LETTER O WITH GRAVE
U+0000D3	211	LATIN CAPITAL LETTER O WITH ACUTE
U+0000D4	212	LATIN CAPITAL LETTER O WITH CIRCUMFLEX
U+0000D5	213	LATIN CAPITAL LETTER O WITH TILDE
U+0000D6	214	LATIN CAPITAL LETTER O WITH DIAERESIS
U+0000D8	216	LATIN CAPITAL LETTER O WITH STROKE
U+0000D9	217	LATIN CAPITAL LETTER U WITH GRAVE
U+0000DA	218	LATIN CAPITAL LETTER U WITH ACUTE
U+0000DB	219	LATIN CAPITAL LETTER U WITH CIRCUMFLEX
U+0000DC	220	LATIN CAPITAL LETTER U WITH DIAERESIS
U+0000DD	221	LATIN CAPITAL LETTER Y WITH ACUTE
U+0000DE	222	LATIN CAPITAL LETTER THORN
U+000100	256	LATIN CAPITAL LETTER A WITH MACRON
U+000102	258	LATIN CAPITAL LETTER A WITH BREVE
U+000104	260	LATIN CAPITAL LETTER A WITH OGONEK
U+000106	262	LATIN CAPITAL LETTER C WITH ACUTE
U+000108	264	LATIN CAPITAL LETTER C WITH CIRCUMFLEX
U+00010A	266	LATIN CAPITAL LETTER C WITH DOT ABOVE
U+00010C	268	LATIN CAPITAL LETTER C WITH CARON
U+00010E	270	LATIN CAPITAL LETTER D WITH CARON
U+000110	272	LATIN CAPITAL LETTER D WITH STROKE
U+000112	274	LATIN CAPITAL LETTER E WITH MACRON
U+000114	276	LATIN CAPITAL LETTER E WITH BREVE
U+000116	278	LATIN CAPITAL LETTER E WITH DOT ABOVE
U+000118	280	LATIN CAPITAL LETTER E WITH OGONEK
U+00011A	282	LATIN CAPITAL LETTER E WITH CARON
U+00011C	284	LATIN CAPITAL LETTER G WITH CIRCUMFLEX
U+00011E	286	LATIN CAPITAL LETTER G WITH BREVE
U+000120	288	LATIN CAPITAL LETTER G WITH DOT ABOVE
U+000122	290	LATIN CAPITAL LETTER G WITH CEDILLA
U+000124	292	LATIN CAPITAL LETTER H WITH CIRCUMFLEX
U+000126	294	LATIN CAPITAL LETTER H WITH STROKE
U+000128	296	LATIN CAPITAL LETTER I WITH TILDE
U+00012A	298	LATIN CAPITAL LETTER I WITH MACRON
U+00012C	300	LATIN CAPITAL LETTER I WITH BREVE
U+00012E	302	LATIN CAPITAL LETTER I WITH OGONEK
U+000130	304	LATIN CAPITAL LETTER I WITH DOT ABOVE
U+000132	306	LATIN CAPITAL LIGATURE IJ
U+000134	308	LATIN CAPITAL LETTER J WITH CIRCUMFLEX
U+000136	310	LATIN CAPITAL LETTER K WITH CEDILLA
U+000139	313	LATIN CAPITAL LETTER L WITH ACUTE
U+00013B	315	LATIN CAPITAL LETTER L WITH CEDILLA
U+00013D	317	LATIN CAPITAL LETTER L WITH CARON
U+00013F	319	LATIN CAPITAL LETTER L WITH MIDDLE DOT
U+000141	321	LATIN CAPITAL LETTER L WITH STROKE
U+000143	323	LATIN CAPITAL LETTER N WITH ACUTE
U+000145	325	LATIN CAPITAL LETTER N WITH CEDILLA
U+000147	327	LATIN CAPITAL LETTER N WITH CARON
U+00014A	330	LATIN CAPITAL LETTER ENG
U+00014C	332	LATIN CAPITAL LETTER O WITH MACRON
U+00014E	334	LATIN CAPITAL LETTER O WITH BREVE
U+000150	336	LATIN CAPITAL LETTER O WITH DOUBLE ACUTE
U+000152	338	LATIN CAPITAL LIGATURE OE
U+000154	340	LATIN CAPITAL LETTER R WITH ACUTE
U+000156	342	LATIN CAPITAL LETTER R WITH CEDILLA
U+000158	344	LATIN CAPITAL LETTER R WITH CARON
U+00015A	346	LATIN CAPITAL LETTER S WITH ACUTE
U+00015C	348	LATIN CAPITAL LETTER S WITH CIRCUMFLEX
U+00015E	350	LATIN CAPITAL LETTER S WITH CEDILLA
U+000160	352	LATIN CAPITAL LETTER S WITH CARON
U+000162	354	LATIN CAPITAL LETTER T WITH CEDILLA
U+000164	356	LATIN CAPITAL LETTER T WITH CARON
U+000166	358	LATIN CAPITAL LETTER T WITH STROKE
U+000168	360	LATIN CAPITAL LETTER U WITH TILDE
U+00016A	362	LATIN CAPITAL LETTER U WITH MACRON
U+00016C	364	LATIN CAPITAL LETTER U WITH BREVE
U+00016E	366	LATIN CAPITAL LETTER U WITH RING ABOVE
U+000170	368	LATIN CAPITAL LETTER U WITH DOUBLE ACUTE
U+000172	370	LATIN CAPITAL LETTER U WITH OGONEK
U+000174	372	LATIN CAPITAL LETTER W WITH CIRCUMFLEX
U+000176	374	LATIN CAPITAL LETTER Y WITH CIRCUMFLEX
U+000178	376	LATIN CAPITAL LETTER Y WITH DIAERESIS
U+000179	377	LATIN CAPITAL LETTER Z WITH ACUTE
U+00017B	379	LATIN CAPITAL LETTER Z WITH DOT ABOVE
U+00017D	381	LATIN CAPITAL LETTER Z WITH CARON
U+000181	385	LATIN CAPITAL LETTER B WITH HOOK
U+000182	386	LATIN CAPITAL LETTER B WITH TOPBAR
U+000184	388	LATIN CAPITAL LETTER TONE SIX
U+000186	390	LATIN CAPITAL LETTER OPEN O
U+000187	391	LATIN CAPITAL LETTER C WITH HOOK
U+000189	393	LATIN CAPITAL LETTER AFRICAN D
U+00018A	394	LATIN CAPITAL LETTER D WITH HOOK
U+00018B	395	LATIN CAPITAL LETTER D WITH TOPBAR
U+00018E	398	LATIN CAPITAL LETTER REVERSED E
U+00018F	399	LATIN CAPITAL LETTER SCHWA
U+000190	400	LATIN CAPITAL LETTER OPEN E
U+000191	401	LATIN CAPITAL LETTER F WITH HOOK
U+000193	403	LATIN CAPITAL LETTER G WITH HOOK
U+000194	404	LATIN CAPITAL LETTER GAMMA
U+000196	406	LATIN CAPITAL LETTER IOTA
U+000197	407	LATIN CAPITAL LETTER I WITH STROKE
U+000198	408	LATIN CAPITAL LETTER K WITH HOOK
U+00019C	412	LATIN CAPITAL LETTER TURNED M
U+00019D	413	LATIN CAPITAL LETTER N WITH LEFT HOOK
U+00019F	415	LATIN CAPITAL LETTER O WITH MIDDLE TILDE
U+0001A0	416	LATIN CAPITAL LETTER O WITH HORN
U+0001A2	418	LATIN CAPITAL LETTER OI
U+0001A4	420	LATIN CAPITAL LETTER P WITH HOOK
U+0001A6	422	LATIN LETTER YR
U+0001A7	423	LATIN CAPITAL LETTER TONE TWO
U+0001A9	425	LATIN CAPITAL LETTER ESH
U+0001AC	428	LATIN CAPITAL LETTER T WITH HOOK
U+0001AE	430	LATIN CAPITAL LETTER T WITH RETROFLEX HOOK
U+0001AF	431	LATIN CAPITAL LETTER U WITH HORN
U+0001B1	433	LATIN CAPITAL LETTER UPSILON
U+0001B2	434	LATIN CAPITAL LETTER V WITH HOOK
U+0001B3	435	LATIN CAPITAL LETTER Y WITH HOOK
U+0001B5	437	LATIN CAPITAL LETTER Z WITH STROKE
U+0001B7	439	LATIN CAPITAL LETTER EZH
U+0001B8	440	LATIN CAPITAL LETTER EZH REVERSED
U+0001BC	444	LATIN CAPITAL LETTER TONE FIVE
U+0001C4	452	LATIN CAPITAL LETTER DZ WITH CARON
U+0001C7	455	LATIN CAPITAL LETTER LJ
U+0001CA	458	LATIN CAPITAL LETTER NJ
U+0001CD	461	LATIN CAPITAL LETTER A WITH CARON
U+0001CF	463	LATIN CAPITAL LETTER I WITH CARON
U+0001D1	465	LATIN CAPITAL LETTER O WITH CARON
U+0001D3	467	LATIN CAPITAL LETTER U WITH CARON
U+0001D5	469	LATIN CAPITAL LETTER U WITH DIAERESIS AND MACRON
U+0001D7	471	LATIN CAPITAL LETTER U WITH DIAERESIS AND ACUTE
U+0001D9	473	LATIN CAPITAL LETTER U WITH DIAERESIS AND CARON
U+0001DB	475	LATIN CAPITAL LETTER U WITH DIAERESIS AND GRAVE
U+0001DE	478	LATIN CAPITAL LETTER A WITH DIAERESIS AND MACRON
U+0001E0	480	LATIN CAPITAL LETTER A WITH DOT ABOVE AND MACRON
U+0001E2	482	LATIN CAPITAL LETTER AE WITH MACRON
U+0001E4	484	LATIN CAPITAL LETTER G WITH STROKE
U+0001E6	486	LATIN CAPITAL LETTER G WITH CARON
U+0001E8	488	LATIN CAPITAL LETTER K WITH CARON
U+0001EA	490	LATIN CAPITAL LETTER O WITH OGONEK
U+0001EC	492	LATIN CAPITAL LETTER O WITH OGONEK AND MACRON
U+0001EE	494	LATIN CAPITAL LETTER EZH WITH CARON
U+0001F1	497	LATIN CAPITAL LETTER DZ
U+0001F4	500	LATIN CAPITAL LETTER G WITH ACUTE
U+0001F6	502	LATIN CAPITAL LETTER HWAIR
U+0001F7	503	LATIN CAPITAL LETTER WYNN
U+0001F8	504	LATIN CAPITAL LETTER N WITH GRAVE
U+0001FA	506	LATIN CAPITAL LETTER A WITH RING ABOVE AND ACUTE
U+0001FC	508	LATIN CAPITAL LETTER AE WITH ACUTE
